col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
ERA5_PHI,Geopotential (ERA5),m2s-2,ERA5,z,,z,,,ERA5,,,,,
ERA5_PRESS,Pressure (ERA5),hPa,ERA5,p,,,,,ERA5,,,,,
ERA5_PRESS_1_5,Pressure at main 1.5 PVU surface,hPa,ERA5,p,,,dyn,FALSE,ERA5,1.5,,,,0
ERA5_PRESS_1_5_Second,Pressure at secondary 1.5 PVU surface,hPa,ERA5,p,,p,dyn,FALSE,ERA5,1.5,,,,1
ERA5_PRESS_2_0,Pressure at main 2.0 PVU surface,hPa,ERA5,p,,,dyn,FALSE,ERA5,2,,,,0
ERA5_PRESS_2_0_Second,Pressure at secondary 2.0 PVU surface,hPa,ERA5,p,,p,dyn,FALSE,ERA5,2,,,,1
ERA5_PRESS_3_5,Pressure at main 3.5 PVU surface,hPa,ERA5,p,,,dyn,FALSE,ERA5,3.5,,,,0
ERA5_PRESS_3_5_Second,Pressure at secondary 3.5 PVU surface,hPa,ERA5,p,,p,dyn,FALSE,ERA5,3.5,,,,1
ERA5_PV,Potential vorticity (ERA5),PVU,ERA5,,,pv,,,ERA5,,,,,
ERA5_TEMP,Temperature (ERA5),K,ERA5,,,,,,ERA5,,,,,
ERA5_thermTP_PRESS,Pressure of main lapse rate tropopause (ERA5),hPa,ERA5,p,,p,therm,FALSE,ERA5,,,,,0
ERA5_thermTP_PRESS_Second,Pressure of secondary lapse rate tropopause (ERA5),hPa,ERA5,p,,p,therm,FALSE,ERA5,,,,,1
ERA5_thermTP_THETA,Potential temperature of local lapse rate tropopause (ERA5),K,ERA5,pt,,pt,therm,FALSE,ERA5,,,,,0
ERA5_thermTP_THETA_Second,Potential temperature of local secondary lapse rate tropopause (ERA5),K,ERA5,pt,,pt,therm,FALSE,ERA5,,,,,1
ERA5_thermTP_Z,Height of main lapse rate tropopause (ERA5),km,ERA5,z,,z,therm,FALSE,ERA5,,,,,0
ERA5_thermTP_Z_Second,Height of secondary lapse rate tropopause (ERA5),km,ERA5,z,,z,therm,FALSE,ERA5,,,,,1
ERA5_THETA,Potential temperature (ERA5),K,ERA5,pt,,pt,,,ERA5,,,,,
ERA5_THETA_1_5,Potential temperature at main 1.5 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,1.5,,,,0
ERA5_THETA_1_5_Second,Potential temperature at secondary 1.5 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,1.5,,,,1
ERA5_THETA_2_0,Potential temperature at main 2.0 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,2,,,,0
ERA5_THETA_2_0_Second,Potential temperature at secondary 2.0 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,2,,,,1
ERA5_THETA_3_5,Potential temperature at main 3.5 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,3.5,,,,0
ERA5_THETA_3_5_Second,Potential temperature at secondary 3.5 PVU surface,K,ERA5,pt,,pt,dyn,FALSE,ERA5,3.5,,,,1
ERA5_TROP1_PRESS,Pressure of local lapse rate tropopause (ERA5),hPa,ERA5,p,,p,therm,FALSE,ERA5,,,,,0
ERA5_TROP1_THETA,Pot. temperature of local lapse rate tropopause (ERA5),K,ERA5,pt,,pt,therm,FALSE,ERA5,,,,,0
ERA5_TROP1_Z,Height of local lapse rate tropopause (ERA5),km,ERA5,z,,z,therm,FALSE,ERA5,,,,,0
ERAInt_D_2_0PVU_PRESS,Pressure distance to 2.0 PVU dynamical tropopause (ERAInt),hPa,ERAInt,p,,,dyn,TRUE,ERAInt,2,,,,0
ERAInt_D_2_0PVU_THETA,Theta-distance to 2.0 PVU dynamical tropoause (ERAInt),K,ERAInt,pt,,,dyn,TRUE,ERAInt,2,,,,0
ERAInt_D_STROP_PRESS,Pressure distance to thermal tropopause (ERAInt),hPa,ERAInt,p,,,therm,TRUE,ERAInt,,,,,0
ERAInt_D_STROP_THETA,Theta-distance to thermal tropopause (ERAInt),K,ERAInt,pt,,,therm,TRUE,ERAInt,,,,,0
ERAInt_EQLAT,Equivalent latitude (ERAInt),degrees_north,ERAInt,,eql,,,,ERAInt,,,,,
ERAInt_PV,Potential Vorticity (ERAInt),PVU,ERAInt,,,pv,,,ERAInt,,,,,
GCECD_N2O,Pseudo coord: N2O dry mole fraction mixing ratio from GCECD (ppb),ppb,GCECD,mxr,,,chem,FALSE,MSMT,,n2o,,,0
geometry,geometry,degrees,,,geometry,,,,MSMT,,,,,
geometry.x,longitude,degrees_east,,,lon,,,,MSMT,,,,,
geometry.y,latitude,degrees_north,,,lat,,,,MSMT,,,,,
GLORIA_altitude,measured altitude ,km,GLORIA,z,,,,,MSMT,,,,,
GLORIA_lapse_rate,measured lapse rate,K km-1,GLORIA,,,lapse_rate,,,MSMT,,,,,
H_rel_TP,Ozone-based representative height above the tropopause; [km] # derived from ozone sonde data collected at Hohenpeissenberg [Sprung and Zahn JGR 2010],km,MS,z,,,chem,TRUE,MSMT,,o3,,,0
H_TP,Ozone-based representative height of tropopause; [km] # derived from ozone sonde data collected at Hohenpeissenberg [Sprung and Zahn JGR 2010],km,MS_calc,z,,,chem,FALSE,MSMT,,o3,Altitude  ,H_rel_TP,0
height_km,Height,km,,z,,,,,MSMT,,,,,
hiaper_MET_LAT,GGLAT - Latitude from GPS. datum WGS84 [decimal degree],dec deg,MET,,lat,,,,MSMT,,,,,
hiaper_MET_LON,GGLON - Longitude from GPS. datum WGS84 [decimal degree],dec deg,MET,,lon,,,,MSMT,,,,,
hiaper_MET_PALT,PALT - Pressure altitude [m],m,MET,p,,,,,MSMT,,,,,
hiaper_MET_PRESS,PSXC - Reference static pressure: research static pressure corrected for airflow effects [hPa],hPa,MET,p,,,,,MSMT,,,,,
hiaper_MET_THETA,THETA - Potential temperature [K],K,MET,pt,,,,,MSMT,,,,,
ilev,hybrid level at layer interfaces,level,EMAC,lev,,,,FALSE,EMAC,,,,,
AgeSpec_AGE,Mean age from age-spectrum (10 yr),year,INTtpc,,,aoa_mean,,,MSMT,,,,,
AgeSpec_MEDIAN_AGE,Median age from age-spectrum,year,INTtpc,,,aoa_med,,,MSMT,,,,,
AgeSpec_MODE,Modal age from age-spectrum (10 yr),year,INTtpc,,,aoa_mod,,,MSMT,,,,,
CARIBIC2_H_rel_TP,Geopotential height above O3 tropopause according to Zahn et al. (2003),km,INT,z,,,chem,TRUE,MSMT,3.5,,,,0
CARIBIC2_h_TP,Geopotential height of O3 tropopause according to Zahn et al. (2003),km,int_calc,z,,,chem,FALSE,MSMT,,,,,
CLaMS_N2O,Pseudo coord: N2O (CLaMS) ,ppb,CLAMS,mxr,,,chem,FALSE,CLAMS,,n2o,,,0
dp_dtrop_hpa,Pressure difference relative to dynamical (PV=3.5PVU) tropopause from ECMWF,hPa,INT,p,,p,dyn,TRUE,ECMWF,,o3,,,0
dp_strop_hpa,Pressure difference relative to thermal tropopause from ECMWF,hPa,INT,p,,p,therm,TRUE,ECMWF,,o3,z_km,CARIBIC2_H_rel_TP,0
eqlat,equivalent latitude in degrees north from ECMWF,degrees_north,INT,,eql,,,,ECMWF,,o3,z_km,h_rel_TP,0
